DATE	00h	01h	02h	03h	04h	05h	06h	07h	08h	09h	10h	11h	12h	13h	14h	15h	16h	17h	18h	19h	20h	21h	22h	23h	00h	01h	02h	03h	04h	05h	06h	07h	08h	09h	10h	11h	12h	13h	14h	15h	16h	17h	18h	19h	20h	21h	22h	23h
11.01.2014	18	16	16	15	15	15	15	12	13	14	14	13	13	13	11	14	15	16	16	13	18	19	19	21	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.6	1.3	
12.01.2014	23	22	23	24	23	18	21	23	23	23	22	21	20	17	20	22	22	22	21	17	18	18	17	16	0.3	0.2	-1	-1	-1	1.8	1.8	0.2	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.1	0.2	0.3	0.4	0.4	0.4	0.1	
13.01.2014	15	13	11	10	8	6	4	5	4	5	6	7	7	8	9	9	10	10	10	10	9	8	8	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
14.01.2014	7	6	5	6	6	6	5	4	5	5	6	7	6	5	7	8	8	8	7	6	7	6	7	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.1	0.2	0.3	0.1	0.1	0.3	0.4	0.2	0.1	0.2	0.2	0.3	0.3	0.3	
15.01.2014	6	6	6	7	8	7	7	6	6	6	6	6	6	6	4	4	1	1	2	2	2	2	3	3	0.4	0.3	0.4	0.3	0.3	0.3	0.2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
16.01.2014	4	4	6	7	7	8	9	8	10	10	10	11	12	10	12	15	15	15	15	14	15	15	16	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.1	0.2	0.2	0.2	0.1	0.2	0.2	0.1	0.1	-1	-1	-1	0.6	
17.01.2014	15	13	13	12	12	11	10	8	6	6	6	6	6	2	2	2	3	4	4	4	4	4	5	5	0.7	0.5	0.5	0.4	0.4	0.2	0.3	0.3	0.2	-1	-1	-1	-1	-1	-1	-1	-1	0.1	-1	-1	-1	-1	-1	-1	
18.01.2014	5	4	5	7	8	8	8	6	8	10	10	10	10	9	10	11	11	12	12	13	14	14	15	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
19.01.2014	16	13	15	17	18	18	18	17	17	18	19	19	19	17	18	19	19	19	19	16	18	19	19	19	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
20.01.2014	20	17	18	19	20	18	18	16	16	16	17	17	18	15	14	15	16	16	16	13	13	14	15	15	0.1	-1	-1	0.2	0.4	0.6	2	2.2	3.4	3.1	0.7	0.1	-1	-1	-1	-1	-1	-1	0.5	0.2	0.4	0.4	0.5	0.3	
21.01.2014	15	13	13	14	14	14	14	13	13	13	13	13	13	10	11	11	12	12	12	9	9	10	10	10	0.1	0.1	0.1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.1	-1	-1	-1	-1	0.1	-1	-1	-1	
22.01.2014	9	8	9	9	9	9	9	9	9	9	8	8	7	8	9	9	8	8	8	7	8	8	7	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
23.01.2014	6	7	8	8	7	7	6	7	7	6	7	7	7	7	8	9	9	10	10	9	10	11	11	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
24.01.2014	12	11	13	13	14	13	13	14	14	14	14	15	15	13	14	15	15	15	14	14	14	13	13	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
25.01.2014	12	12	12	11	11	10	10	10	9	9	10	11	12	11	10	9	9	10	11	11	12	12	12	11	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
26.01.2014	11	10	9	9	12	13	13	11	13	13	10	11	11	9	9	10	11	12	13	11	13	15	15	16	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
27.01.2014	16	15	17	18	18	18	18	15	16	16	17	17	16	14	15	15	16	15	15	12	13	13	12	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
28.01.2014	12	11	12	13	13	13	13	11	12	13	15	16	16	12	15	15	15	15	15	12	14	15	16	17	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.2	0.3	0.4	0.2	-1	-1	
29.01.2014	17	15	16	15	18	18	18	14	16	15	18	19	18	17	17	17	18	18	18	16	17	16	17	16	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
30.01.2014	17	15	15	16	16	16	16	15	16	16	18	18	17	16	17	17	16	17	17	16	16	16	17	17	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
31.01.2014	17	16	17	17	17	17	17	16	16	15	17	16	16	15	14	17	17	16	15	14	14	15	15	16	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.1	0.3	-1	-1	-1	-1	-1	-1	
01.02.2014	15	16	16	17	17	17	17	14	17	17	18	18	18	14	16	17	17	17	17	12	14	15	16	16	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
02.02.2014	16	15	13	14	15	15	13	10	11	11	12	11	11	6	8	8	9	9	9	4	4	5	5	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
03.02.2014	7	4	5	6	7	7	8	6	6	7	8	9	9	7	12	13	13	12	11	11	12	12	12	11	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
04.02.2014	11	12	12	14	14	14	14	13	15	15	15	15	14	11	12	13	13	13	13	10	10	11	11	11	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
05.02.2014	11	10	10	11	11	12	12	9	11	12	13	14	14	9	11	12	13	13	14	10	11	11	11	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
06.02.2014	11	8	9	10	10	11	11	9	10	11	12	12	11	8	9	10	10	10	10	6	8	9	9	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
07.02.2014	10	7	10	12	14	15	16	13	14	15	15	16	16	11	14	15	15	16	16	13	17	17	17	18	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
08.02.2014	18	17	16	15	14	13	13	9	9	9	9	9	9	9	12	14	14	14	15	11	13	13	14	13	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
09.02.2014	12	11	11	11	12	11	11	10	11	10	9	10	11	9	11	12	11	11	10	8	8	9	10	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
10.02.2014	10	6	7	8	9	8	8	6	6	6	7	7	6	6	7	8	9	10	11	9	13	14	15	16	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
11.02.2014	16	15	14	14	14	13	13	11	12	13	14	15	14	15	13	13	14	13	11	14	14	13	12	11	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.1	0.1	-1	-1	-1	-1	-1	
12.02.2014	11	11	10	10	9	10	9	7	6	7	7	7	7	6	6	7	7	8	4	4	2	6	7	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
13.02.2014	7	7	9	11	13	15	16	13	14	14	12	11	10	9	9	9	9	10	10	7	10	12	15	16	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
14.02.2014	16	12	12	13	13	17	17	14	16	16	16	17	15	13	11	12	10	9	7	5	6	7	8	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.2	0.1	0.1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
15.02.2014	10	7	9	11	12	12	16	16	17	18	17	17	17	14	13	11	11	11	11	8	12	13	13	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.1	2	2.7	2.2	1.7	1.8	1.2	1	1.1	
16.02.2014	14	13	15	16	16	17	17	14	16	16	16	16	16	15	18	17	15	15	15	15	15	14	14	13	0.2	0.4	0.3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.1	0.1	-1	-1	-1	0.3	-1	-1	-1	-1	
17.02.2014	14	13	13	13	13	12	12	10	10	9	10	9	9	12	12	11	11	11	10	8	8	9	9	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
18.02.2014	9	6	6	6	6	6	6	5	4	5	7	8	8	7	8	8	9	9	10	7	7	8	9	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
19.02.2014	10	6	6	7	8	9	10	6	9	11	11	12	13	11	12	13	13	13	12	9	10	11	11	11	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
20.02.2014	11	7	8	9	10	10	10	8	8	8	8	8	7	9	7	6	7	8	7	3	7	9	10	11	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
21.02.2014	11	8	10	12	13	14	14	11	12	12	14	14	14	11	12	13	11	11	10	9	10	10	11	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.1	-1	-1	-1	-1	-1	-1	-1	
22.02.2014	10	9	9	8	8	8	7	5	6	7	7	6	6	8	8	9	9	9	8	7	7	8	8	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
23.02.2014	8	6	5	6	7	6	6	5	4	4	5	6	5	6	6	7	7	8	8	5	7	8	9	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
24.02.2014	9	8	8	9	9	10	10	8	8	8	9	10	11	11	13	13	12	13	13	13	14	13	13	13	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
25.02.2014	12	12	12	12	11	12	12	10	9	11	11	11	12	12	13	13	12	13	13	14	14	14	13	13	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
26.02.2014	12	11	10	11	10	10	10	9	8	9	9	9	10	8	8	8	8	8	8	7	8	8	9	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
27.02.2014	8	7	7	7	6	6	6	6	5	6	6	6	5	6	6	6	6	6	7	6	6	7	7	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
28.02.2014	6	4	5	6	7	7	7	5	5	6	7	7	8	8	8	8	7	8	7	6	6	7	6	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
01.03.2014	6	5	4	5	5	5	4	5	4	4	6	6	6	5	6	7	7	8	9	8	9	10	10	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
02.03.2014	10	7	8	8	8	8	7	9	7	8	8	9	9	10	9	10	9	10	10	11	13	13	13	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
03.03.2014	12	11	12	14	14	14	15	12	14	13	14	15	16	15	17	17	16	16	16	16	16	15	15	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
04.03.2014	14	13	13	13	14	14	14	12	12	13	14	14	13	12	12	13	12	12	12	11	11	11	10	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.2	-1	0.1	-1	-1	
05.03.2014	9	9	8	8	7	7	7	6	4	4	5	4	3	3	1	1	1	3	4	2	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
06.03.2014	1	3	4	4	4	5	5	5	3	3	4	4	5	4	5	5	5	5	2	2	2	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
07.03.2014	1	3	1	1	1	4	5	4	3	4	5	5	6	6	7	7	7	8	8	8	8	8	9	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
08.03.2014	7	7	6	7	7	6	4	3	2	2	4	6	7	5	6	5	4	4	1	2	1	1	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
09.03.2014	2	6	6	7	7	7	7	7	6	7	8	10	10	8	10	10	9	10	10	8	9	10	9	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
10.03.2014	9	8	8	8	8	9	9	7	7	7	9	11	11	9	9	9	8	8	7	7	4	2	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
11.03.2014	2	0	1	2	2	6	9	7	5	7	8	10	10	9	11	12	11	11	12	10	9	8	7	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
12.03.2014	6	6	5	2	2	4	4	3	2	1	2	2	2	2	3	3	3	1	1	1	1	0	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
13.03.2014	2	1	1	1	2	3	4	2	2	3	5	6	6	6	6	6	6	7	8	3	5	8	8	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
14.03.2014	8	7	7	8	9	9	9	7	5	6	7	7	7	7	9	9	10	10	11	9	12	13	14	16	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
15.03.2014	19	17	22	23	25	25	24	23	27	28	27	27	27	24	22	22	20	18	19	16	19	19	18	17	-1	-1	-1	-1	0.1	0.9	0.4	0.2	0.2	0.3	0.3	0.5	0.4	0.1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.1	
16.03.2014	19	17	19	19	19	19	19	16	14	14	12	16	20	17	18	18	19	18	19	3	18	20	20	21	0.2	0.5	0.5	0.3	0.3	0.2	-1	-1	-1	0.3	0.4	0.9	0.8	1.1	1.1	1	0.5	0.4	0.5	1	0.5	0.4	0.7	0.9	
17.03.2014	24	21	25	25	25	24	23	22	23	24	25	24	24	22	21	21	23	22	21	15	18	18	17	16	0.6	0.4	0.2	0.1	0.2	0.4	0.4	0.3	0.2	0.3	0.1	0.2	0.4	0.3	0.2	0.2	-1	-1	-1	-1	-1	-1	-1	-1	
18.03.2014	15	15	15	15	15	14	13	12	12	11	12	13	15	13	14	16	15	14	14	9	10	11	10	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.2	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	
19.03.2014	8	9	10	11	12	13	13	11	12	13	16	18	16	14	16	18	19	20	20	17	21	21	21	20	0.7	-1	0.3	1.4	1.3	1	0.5	0.9	0.5	0.3	0.2	0.1	-1	-1	-1	-1	0.1	0.3	0.2	0.2	-1	-1	-1	-1	
20.03.2014	20	18	18	18	17	17	16	14	12	14	14	14	14	12	12	12	12	12	12	10	11	13	15	17	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
21.03.2014	17	16	16	15	14	14	14	13	13	13	15	16	17	15	18	18	20	21	22	16	16	17	16	13	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.2	-1	-1	-1	-1	-1	-1	-1	
22.03.2014	11	10	7	6	5	1	1	1	4	7	10	12	12	9	10	8	4	5	9	7	2	1	5	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.3	-1	0.4	3.4	-1	0.1	-1	0.2	0.6	
23.03.2014	11	5	6	6	6	7	6	5	5	6	6	5	5	5	4	4	5	6	7	8	11	12	13	13	0.1	-1	0.3	0.2	0.1	-1	-1	-1	-1	-1	-1	-1	-1	0.2	-1	0.4	0.6	0.8	1.1	0.9	1	1.2	0.8	0.3	
24.03.2014	14	13	13	13	12	12	12	11	10	11	12	14	14	11	13	12	13	13	13	11	10	10	11	13	0.4	0.6	0.6	0.3	0.2	0.3	0.1	0.2	0.4	0.9	1.1	0.8	0.8	1.1	1	0.6	0.4	0.3	0.2	0.4	0.3	0.3	0.4	0.3	
25.03.2014	13	10	12	13	13	14	13	9	10	11	12	14	14	11	12	12	11	10	9	7	7	7	7	6	0.3	0.3	0.3	0.4	0.3	0.3	0.3	0.6	0.7	0.7	0.5	0.3	0.3	0.4	0.2	0.1	-1	-1	-1	-1	-1	-1	-1	-1	
26.03.2014	5	6	4	5	5	5	4	5	4	4	5	5	5	4	7	7	7	7	8	8	8	8	8	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
27.03.2014	8	7	6	6	6	6	6	5	4	5	5	5	5	5	7	7	6	6	5	8	8	8	8	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
28.03.2014	8	8	8	9	9	9	9	9	7	7	8	7	7	7	7	7	7	7	8	8	8	9	10	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
29.03.2014	9	8	7	7	7	7	7	4	3	5	6	6	6	4	4	4	4	4	2	4	4	5	6	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
30.03.2014	5	3	2	2	2	2	2	3	2	2	3	3	2	1	1	1	1	1	1	1	3	3	2	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
31.03.2014	1	2	1	1	1	1	2	3	3	5	7	7	8	8	11	11	11	10	10	9	7	7	8	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
01.04.2014	7	7	4	4	7	7	7	5	6	8	7	7	7	6	7	7	6	6	7	9	11	11	11	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
02.04.2014	9	9	8	9	9	9	9	9	8	9	11	11	11	9	10	10	10	10	11	9	11	11	11	11	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
03.04.2014	12	8	7	7	7	8	1	4	1	1	1	3	4	2	5	7	7	8	11	12	15	14	13	13	-1	-1	1.6	1.5	1.1	0.3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
04.04.2014	13	12	13	13	12	12	12	11	11	11	11	12	12	10	11	11	12	12	13	12	13	13	13	13	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
05.04.2014	13	14	12	12	12	13	12	13	12	13	13	12	12	10	10	11	11	10	11	10	9	9	8	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
06.04.2014	7	7	2	2	1	1	1	1	1	2	3	4	4	5	5	6	6	6	6	3	1	1	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
07.04.2014	6	3	6	8	9	8	9	5	7	8	9	9	9	8	8	8	8	9	8	3	4	6	7	7	-1	-1	-1	-1	-1	-1	-1	-1	0.1	0.2	-1	0.3	0.1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
08.04.2014	8	5	6	8	10	10	11	8	7	9	10	11	11	12	15	17	18	18	16	14	14	14	14	16	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.3	2.4	0.2	-1	-1	-1	-1	-1	-1	
09.04.2014	16	14	17	17	16	15	12	13	14	17	20	19	18	13	13	15	14	12	13	14	16	16	14	13	-1	-1	-1	-1	0.1	0.2	0.6	-1	-1	-1	0.2	-1	-1	-1	0.2	0.6	1	1.7	0.8	-1	0.5	1	1.3	0.9	
10.04.2014	12	12	11	11	11	11	11	9	9	9	9	7	7	7	6	5	5	4	1	3	2	1	1	0	0.4	0.5	0.3	0.1	0.2	0.2	0.2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
11.04.2014	1	1	1	2	2	1	2	2	3	4	6	7	8	5	6	6	7	6	7	7	6	6	7	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
12.04.2014	2	2	0	0	0	0	0	1	2	3	4	4	5	4	5	6	6	5	6	2	2	2	4	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
13.04.2014	7	5	6	7	7	7	6	5	7	8	13	14	14	14	13	12	13	13	12	8	8	10	7	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
14.04.2014	8	8	7	7	9	10	10	7	10	12	13	14	14	11	12	15	16	14	15	12	12	12	13	13	-1	-1	-1	0.3	0.6	1.1	0.6	0.3	0.4	0.5	0.3	0.3	0.3	0.3	0.2	1.4	0.7	0.2	-1	-1	-1	-1	0.1	-1	
